a/s	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63	p64	p65	p66	p67	p68	p69	p70	p71	p72	p73	p74	p75	p76	p77	p78	p79	p80	p81	p82	p83	p84	p85	p86	p87	p88	p89	p90	p91	p92	p93	p94	p95	p96	p97	p98	p99	p100
0	0.750463516	0.508781731	0.871684998	0.536724851	0.595855728	0.551419571	0.580489695	0.50744687	0.527636766	0.526270136	0.536953107	0.569200173	0.698488101	0.53674899	0.522605211	0.388909414	0.609463215	0.571251884	0.833960593	0.569661766	0.624588087	0.639629722	0.548545942	0.563445404	0.684020549	0.64745608	0.542190075	0.565345064	0.740634754	0.539616823	0.750463516	0.508781731	0.871684998	0.536724851	0.595855728	0.551419571	0.580489695	0.50744687	0.527636766	0.526270136	0.536953107	0.569200173	0.698488101	0.53674899	0.522605211	0.388909414	0.609463215	0.571251884	0.833960593	0.569661766	0.624588087	0.639629722	0.548545942	0.563445404	0.684020549	0.64745608	0.542190075	0.565345064	0.740634754	0.539616823	0.750463516	0.508781731	0.871684998	0.536724851	0.595855728	0.551419571	0.580489695	0.50744687	0.527636766	0.526270136	0.536953107	0.569200173	0.698488101	0.53674899	0.522605211	0.388909414	0.609463215	0.571251884	0.833960593	0.569661766	0.624588087	0.639629722	0.548545942	0.563445404	0.684020549	0.64745608	0.542190075	0.565345064	0.740634754	0.539616823	0.750463516	0.508781731	0.871684998	0.536724851	0.595855728	0.551419571	0.580489695	0.50744687	0.527636766	0.526270136
0	0.321994424	0.22048445	0.025193647	0.270645738	0.526807174	0.280369207	0.225622073	0.184014514	0.427235931	0.445434853	0.015282124	0.000348568	0.339573339	0.036507562	0.313782528	0.945143819	0.3288434	0.098224923	0.655848399	0.665098906	0.25215809	0.251905128	0.072962046	0.020777419	0.577876508	0.098977998	0.018434539	0.019295126	0.115538567	0.127334028	0.321994424	0.22048445	0.025193647	0.270645738	0.526807174	0.280369207	0.225622073	0.184014514	0.427235931	0.445434853	0.015282124	0.000348568	0.339573339	0.036507562	0.313782528	0.945143819	0.3288434	0.098224923	0.655848399	0.665098906	0.25215809	0.251905128	0.072962046	0.020777419	0.577876508	0.098977998	0.018434539	0.019295126	0.115538567	0.127334028	0.321994424	0.22048445	0.025193647	0.270645738	0.526807174	0.280369207	0.225622073	0.184014514	0.427235931	0.445434853	0.015282124	0.000348568	0.339573339	0.036507562	0.313782528	0.945143819	0.3288434	0.098224923	0.655848399	0.665098906	0.25215809	0.251905128	0.072962046	0.020777419	0.577876508	0.098977998	0.018434539	0.019295126	0.115538567	0.127334028	0.321994424	0.22048445	0.025193647	0.270645738	0.526807174	0.280369207	0.225622073	0.184014514	0.427235931	0.445434853
0	0.001032591	0.049928829	0.004712462	0.01205723	0.012331992	0.18371591	0.009041071	0.0114187	0.246344611	0.049332708	0.100797266	0.324845746	0.026846141	0.0403997	0.046016887	0.038604289	0.0231058	0.004248202	0.005066305	0.145655006	0.003931463	0.026722461	0.00046739	0.025399789	0.006049275	0.021166623	0.030672342	0.044674501	0.103914291	0.084383845	0.001032591	0.049928829	0.004712462	0.01205723	0.012331992	0.18371591	0.009041071	0.0114187	0.246344611	0.049332708	0.100797266	0.324845746	0.026846141	0.0403997	0.046016887	0.038604289	0.0231058	0.004248202	0.005066305	0.145655006	0.003931463	0.026722461	0.00046739	0.025399789	0.006049275	0.021166623	0.030672342	0.044674501	0.103914291	0.084383845	0.001032591	0.049928829	0.004712462	0.01205723	0.012331992	0.18371591	0.009041071	0.0114187	0.246344611	0.049332708	0.100797266	0.324845746	0.026846141	0.0403997	0.046016887	0.038604289	0.0231058	0.004248202	0.005066305	0.145655006	0.003931463	0.026722461	0.00046739	0.025399789	0.006049275	0.021166623	0.030672342	0.044674501	0.103914291	0.084383845	0.001032591	0.049928829	0.004712462	0.01205723	0.012331992	0.18371591	0.009041071	0.0114187	0.246344611	0.049332708
1	0.529979184	0.54744035	0.918740392	0.674112171	0.701185301	0.704329073	0.624943465	0.766482323	0.588023305	0.491961911	0.936018616	0.544796005	0.515031427	0.51228112	0.73442173	0.357816413	0.693549871	0.796032906	0.714800462	0.479665592	0.568103805	0.52921468	0.526351422	0.690488592	0.922593772	0.556144014	0.611339405	0.528736666	0.606731787	0.700475842	0.529979184	0.54744035	0.918740392	0.674112171	0.701185301	0.704329073	0.624943465	0.766482323	0.588023305	0.491961911	0.936018616	0.544796005	0.515031427	0.51228112	0.73442173	0.357816413	0.693549871	0.796032906	0.714800462	0.479665592	0.568103805	0.52921468	0.526351422	0.690488592	0.922593772	0.556144014	0.611339405	0.528736666	0.606731787	0.700475842	0.529979184	0.54744035	0.918740392	0.674112171	0.701185301	0.704329073	0.624943465	0.766482323	0.588023305	0.491961911	0.936018616	0.544796005	0.515031427	0.51228112	0.73442173	0.357816413	0.693549871	0.796032906	0.714800462	0.479665592	0.568103805	0.52921468	0.526351422	0.690488592	0.922593772	0.556144014	0.611339405	0.528736666	0.606731787	0.700475842	0.529979184	0.54744035	0.918740392	0.674112171	0.701185301	0.704329073	0.624943465	0.766482323	0.588023305	0.491961911
0	0.74066332	0.857734054	0.692732632	0.962609291	0.720079437	0.721363991	0.845902234	0.657931238	0.75640434	0.977008998	0.999249667	0.954416603	0.963952214	0.918413252	0.84940511	0.995855182	0.790650874	0.995512307	0.783596963	0.992110431	0.653244615	0.974395752	0.916823924	0.858820498	0.748499811	0.890955478	0.950588077	0.994069099	0.807858437	0.777996898	0.74066332	0.857734054	0.692732632	0.962609291	0.720079437	0.721363991	0.845902234	0.657931238	0.75640434	0.977008998	0.999249667	0.954416603	0.963952214	0.918413252	0.84940511	0.995855182	0.790650874	0.995512307	0.783596963	0.992110431	0.653244615	0.974395752	0.916823924	0.858820498	0.748499811	0.890955478	0.950588077	0.994069099	0.807858437	0.777996898	0.74066332	0.857734054	0.692732632	0.962609291	0.720079437	0.721363991	0.845902234	0.657931238	0.75640434	0.977008998	0.999249667	0.954416603	0.963952214	0.918413252	0.84940511	0.995855182	0.790650874	0.995512307	0.783596963	0.992110431	0.653244615	0.974395752	0.916823924	0.858820498	0.748499811	0.890955478	0.950588077	0.994069099	0.807858437	0.777996898	0.74066332	0.857734054	0.692732632	0.962609291	0.720079437	0.721363991	0.845902234	0.657931238	0.75640434	0.977008998
0	0.255888969	0.678326234	0.19716686	0.010968685	0.330926612	0.125068516	0.065352112	0.130130783	0.190215603	0.04253909	0.180678844	0.094492868	0.523942202	0.335363105	0.25503245	0.082239553	0.019513488	0.169657528	0.955963373	0.145211712	0.108173996	0.020773694	0.011861637	0.074318185	0.209733203	0.019223511	0.07268399	0.009578899	0.276223108	0.167511716	0.255888969	0.678326234	0.19716686	0.010968685	0.330926612	0.125068516	0.065352112	0.130130783	0.190215603	0.04253909	0.180678844	0.094492868	0.523942202	0.335363105	0.25503245	0.082239553	0.019513488	0.169657528	0.955963373	0.145211712	0.108173996	0.020773694	0.011861637	0.074318185	0.209733203	0.019223511	0.07268399	0.009578899	0.276223108	0.167511716	0.255888969	0.678326234	0.19716686	0.010968685	0.330926612	0.125068516	0.065352112	0.130130783	0.190215603	0.04253909	0.180678844	0.094492868	0.523942202	0.335363105	0.25503245	0.082239553	0.019513488	0.169657528	0.955963373	0.145211712	0.108173996	0.020773694	0.011861637	0.074318185	0.209733203	0.019223511	0.07268399	0.009578899	0.276223108	0.167511716	0.255888969	0.678326234	0.19716686	0.010968685	0.330926612	0.125068516	0.065352112	0.130130783	0.190215603	0.04253909
1	0.963031024	0.777962506	0.037816808	0.830249935	0.008603632	0.006322101	0.349704131	0.008407116	0.010401309	0.007807702	0.003727525	0.044425607	0.153952986	0.174112216	0.068410635	0.004417241	0.025526732	0.002124965	0.012290835	0.003101036	0.010122299	0.066645101	0.013982654	0.045497134	0.064815491	0.376376539	0.026272938	0.016116098	0.042373866	0.017826945	0.963031024	0.777962506	0.037816808	0.830249935	0.008603632	0.006322101	0.349704131	0.008407116	0.010401309	0.007807702	0.003727525	0.044425607	0.153952986	0.174112216	0.068410635	0.004417241	0.025526732	0.002124965	0.012290835	0.003101036	0.010122299	0.066645101	0.013982654	0.045497134	0.064815491	0.376376539	0.026272938	0.016116098	0.042373866	0.017826945	0.963031024	0.777962506	0.037816808	0.830249935	0.008603632	0.006322101	0.349704131	0.008407116	0.010401309	0.007807702	0.003727525	0.044425607	0.153952986	0.174112216	0.068410635	0.004417241	0.025526732	0.002124965	0.012290835	0.003101036	0.010122299	0.066645101	0.013982654	0.045497134	0.064815491	0.376376539	0.026272938	0.016116098	0.042373866	0.017826945	0.963031024	0.777962506	0.037816808	0.830249935	0.008603632	0.006322101	0.349704131	0.008407116	0.010401309	0.007807702
1	0.838331878	0.968913764	0.782851845	0.544034913	0.94228816	0.750826389	0.719787151	0.925735176	0.822365165	0.751350641	0.653622076	0.465458751	0.716535926	0.683474928	0.903630555	0.736803114	0.726879925	0.553113267	0.840456665	0.66350776	0.717009142	0.981996953	0.818381846	0.963772893	0.407115057	0.956272602	0.998129159	0.793237716	0.512848765	0.679289326	0.838331878	0.968913764	0.782851845	0.544034913	0.94228816	0.750826389	0.719787151	0.925735176	0.822365165	0.751350641	0.653622076	0.465458751	0.716535926	0.683474928	0.903630555	0.736803114	0.726879925	0.553113267	0.840456665	0.66350776	0.717009142	0.981996953	0.818381846	0.963772893	0.407115057	0.956272602	0.998129159	0.793237716	0.512848765	0.679289326	0.838331878	0.968913764	0.782851845	0.544034913	0.94228816	0.750826389	0.719787151	0.925735176	0.822365165	0.751350641	0.653622076	0.465458751	0.716535926	0.683474928	0.903630555	0.736803114	0.726879925	0.553113267	0.840456665	0.66350776	0.717009142	0.981996953	0.818381846	0.963772893	0.407115057	0.956272602	0.998129159	0.793237716	0.512848765	0.679289326	0.838331878	0.968913764	0.782851845	0.544034913	0.94228816	0.750826389	0.719787151	0.925735176	0.822365165	0.751350641
0	0.002450198	0.125895903	0.001291692	0.002472803	0.001279131	0.000335053	0.000128284	0.000248149	0.000129119	0.059354499	0.001337036	0.001263231	0.000110924	0.001052022	0.004628301	0.084091365	0.00114958	0.00119333	0.0002307	1.98185E-05	0.000912055	0.043146491	0.00086759	0.009354219	0.000724643	5.26905E-05	0.002405003	0.013052762	0.004323453	0.008453339	0.002450198	0.125895903	0.001291692	0.002472803	0.001279131	0.000335053	0.000128284	0.000248149	0.000129119	0.059354499	0.001337036	0.001263231	0.000110924	0.001052022	0.004628301	0.084091365	0.00114958	0.00119333	0.0002307	1.98185E-05	0.000912055	0.043146491	0.00086759	0.009354219	0.000724643	5.26905E-05	0.002405003	0.013052762	0.004323453	0.008453339	0.002450198	0.125895903	0.001291692	0.002472803	0.001279131	0.000335053	0.000128284	0.000248149	0.000129119	0.059354499	0.001337036	0.001263231	0.000110924	0.001052022	0.004628301	0.084091365	0.00114958	0.00119333	0.0002307	1.98185E-05	0.000912055	0.043146491	0.00086759	0.009354219	0.000724643	5.26905E-05	0.002405003	0.013052762	0.004323453	0.008453339	0.002450198	0.125895903	0.001291692	0.002472803	0.001279131	0.000335053	0.000128284	0.000248149	0.000129119	0.059354499
0	0.0635176	0.012784883	0.104218081	0.246776134	0.045021638	0.101102814	0.187158525	0.056066275	0.071682662	0.152056962	0.12344265	0.000694513	0.13094373	0.645410806	0.608516991	0.226997167	0.165715858	0.02996476	0.004709393	0.037574708	0.0320016	0.174604967	0.006537661	0.249180719	0.042552277	0.063895345	0.203089103	0.232117638	0.016490966	0.011823148	0.0635176	0.012784883	0.104218081	0.246776134	0.045021638	0.101102814	0.187158525	0.056066275	0.071682662	0.152056962	0.12344265	0.000694513	0.13094373	0.645410806	0.608516991	0.226997167	0.165715858	0.02996476	0.004709393	0.037574708	0.0320016	0.174604967	0.006537661	0.249180719	0.042552277	0.063895345	0.203089103	0.232117638	0.016490966	0.011823148	0.0635176	0.012784883	0.104218081	0.246776134	0.045021638	0.101102814	0.187158525	0.056066275	0.071682662	0.152056962	0.12344265	0.000694513	0.13094373	0.645410806	0.608516991	0.226997167	0.165715858	0.02996476	0.004709393	0.037574708	0.0320016	0.174604967	0.006537661	0.249180719	0.042552277	0.063895345	0.203089103	0.232117638	0.016490966	0.011823148	0.0635176	0.012784883	0.104218081	0.246776134	0.045021638	0.101102814	0.187158525	0.056066275	0.071682662	0.152056962
0	0.001718283	0.002559915	0.000742853	0.02266264	0.001016334	0.001264259	0.012393951	0.000235766	0.006895304	0.011870548	9.77814E-05	0.023069009	0.000384703	0.002990693	0.004989401	0.018626466	0.001735151	0.003672361	0.00046812	0.002655655	0.000260726	0.000378206	0.014094114	0.001571313	0.000111535	0.014945686	0.034880698	0.010380954	0.000943244	3.47346E-05	0.001718283	0.002559915	0.000742853	0.02266264	0.001016334	0.001264259	0.012393951	0.000235766	0.006895304	0.011870548	9.77814E-05	0.023069009	0.000384703	0.002990693	0.004989401	0.018626466	0.001735151	0.003672361	0.00046812	0.002655655	0.000260726	0.000378206	0.014094114	0.001571313	0.000111535	0.014945686	0.034880698	0.010380954	0.000943244	3.47346E-05	0.001718283	0.002559915	0.000742853	0.02266264	0.001016334	0.001264259	0.012393951	0.000235766	0.006895304	0.011870548	9.77814E-05	0.023069009	0.000384703	0.002990693	0.004989401	0.018626466	0.001735151	0.003672361	0.00046812	0.002655655	0.000260726	0.000378206	0.014094114	0.001571313	0.000111535	0.014945686	0.034880698	0.010380954	0.000943244	3.47346E-05	0.001718283	0.002559915	0.000742853	0.02266264	0.001016334	0.001264259	0.012393951	0.000235766	0.006895304	0.011870548
